,Date,NH max,NH min,SH max,SH min,10-year mean NH max,10-year mean NH min,10-year mean SH max,10-year mean SH min
6,1979.0,16.593,6.903,18.343,2.913,,,,
7,1980.0,16.295,7.544,19.059,2.552,,,,
8,1981.0,15.786,6.903,18.817,2.699,,,,
9,1982.0,16.317,7.166,18.539,2.89,,,,
10,1983.0,16.38,7.221,18.787,2.864,,,,
11,1984.0,15.795,6.426,18.322,2.425,16.2002,6.99,18.6009,2.7697
12,1985.0,16.128,6.491,18.92,2.646,16.111,6.9904,18.5888,2.7515
13,1986.0,16.149,7.157,17.986,2.984,16.0992,6.8396,18.5175,2.7775
14,1987.0,16.284,6.963,18.508,3.03,16.0807,6.7795,18.5,2.7649
15,1988.0,16.275,7.126,18.728,2.694,16.0049,6.7838,18.4888,2.7282
16,1989.0,15.701,6.907,18.222,2.731,15.9656,6.6801,18.4767,2.673
17,1990.0,16.177,6.036,18.346,2.812,15.9584,6.7336,18.5203,2.7402
18,1991.0,15.601,6.302,18.642,2.573,15.8791,6.6872,18.4904,2.8112
19,1992.0,15.559,7.209,18.427,2.523,15.8068,6.6906,18.5722,2.7757
20,1993.0,15.987,6.184,18.666,2.312,15.7418,6.6571,18.595,2.7017
21,1994.0,15.723,6.961,18.758,3.097,15.7142,6.5796,18.6438,2.7113
22,1995.0,15.335,6.027,18.621,3.356,15.7023,6.4646,18.7154,2.7105
23,1996.0,15.426,7.191,18.804,2.629,15.6285,6.4588,18.7915,2.6945
24,1997.0,15.634,6.628,18.736,2.29,15.6356,6.4889,18.7719,2.7835
25,1998.0,15.999,6.351,19.216,2.79,15.6373,6.3318,18.734,2.8036
26,1999.0,15.582,5.757,18.938,2.723,15.5981,6.3141,18.7297,2.9374
27,2000.0,15.439,5.978,19.107,2.652,15.5474,6.1974,18.7617,2.9589
28,2001.0,15.672,6.603,18.446,3.463,15.5091,6.1266,18.8245,2.9073
29,2002.0,15.576,5.638,18.048,2.724,15.4348,5.9849,18.8772,2.8963
30,2003.0,15.595,6.007,18.623,3.65,15.3479,5.7376,18.9091,2.9422
31,2004.0,15.216,5.794,19.078,3.312,15.2776,5.5611,18.8136,3.0381
32,2005.0,14.952,5.319,19.249,2.84,15.233,5.4973,18.8449,3.0363
33,2006.0,14.683,5.774,19.331,2.519,15.2174,5.361,18.8287,3.0569
34,2007.0,14.765,4.155,19.055,2.749,15.1169,5.1351,18.8757,2.9445
35,2008.0,15.296,4.586,18.261,3.749,15.0887,4.91,19.0179,2.9886
36,2009.0,15.136,5.119,19.251,2.705,15.0459,4.8147,19.1112,2.993
37,2010.0,15.283,4.615,18.945,2.858,15.0207,4.7382,19.219,3.0179
38,2011.0,14.667,4.344,18.916,2.339,14.9772,4.6496,19.1798,3.0926
39,2012.0,15.294,3.387,19.47,3.165,14.9596,4.4887,19.0997,3.1039
40,2013.0,15.167,5.054,19.556,3.694,14.9237,4.5397,19.0044,3.04
41,2014.0,14.964,5.029,20.156,3.561,14.8406,4.5467,19.0032,2.8866
42,2015.0,14.517,4.433,18.857,3.587,14.8087,4.454,18.9236,2.8621
43,2016.0,14.507,4.165,18.53,2.632,14.7822,4.3743,18.9317,2.8503
44,2017.0,14.406,4.665,18.102,2.11,14.7936,4.4171,18.9241,2.8866
45,2018.0,14.465,4.656,18.249,2.215,14.7517,4.5458,18.796,2.7625
46,2019.0,14.817,4.192,18.455,2.46,,,,
47,2020.0,15.018,3.818,19.026,2.74,,,,
48,2021.0,14.781,4.772,18.84,2.702,,,,
49,2022.0,14.875,4.674,18.189,1.924,,,,
