,Mesure,Decades,region,value
0,High temp,1961-1970,RA I,2.0
1,High temp,1971-1980,RA I,3.0
2,High temp,1981-1990,RA I,1.0
3,High temp,1991-2000,RA I,4.0
4,High temp,2001-2010,RA I,2.0
5,High temp,2011-2020,RA I,9.0
6,Low temp,1961-1970,RA I,4.0
7,Low temp,1971-1980,RA I,5.0
8,Low temp,1981-1990,RA I,2.5
9,Low temp,1991-2000,RA I,1.0
10,Low temp,2001-2010,RA I,4.0
11,Low temp,2011-2020,RA I,4.5
12,High temp,1961-1970,RA II,0.0
13,High temp,1971-1980,RA II,1.0
14,High temp,1981-1990,RA II,2.0
15,High temp,1991-2000,RA II,2.5
16,High temp,2001-2010,RA II,2.5
17,High temp,2011-2020,RA II,10.0
18,Low temp,1961-1970,RA II,5.0
19,Low temp,1971-1980,RA II,3.0
20,Low temp,1981-1990,RA II,1.0
21,Low temp,1991-2000,RA II,1.0
22,Low temp,2001-2010,RA II,4.0
23,Low temp,2011-2020,RA II,4.0
24,High temp,1961-1970,RA III,0.5
25,High temp,1971-1980,RA III,1.0
26,High temp,1981-1990,RA III,1.0
27,High temp,1991-2000,RA III,0.5
28,High temp,2001-2010,RA III,1.5
29,High temp,2011-2020,RA III,2.5
30,Low temp,1961-1970,RA III,0.0
31,Low temp,1971-1980,RA III,1.5
32,Low temp,1981-1990,RA III,1.0
33,Low temp,1991-2000,RA III,2.5
34,Low temp,2001-2010,RA III,2.0
35,Low temp,2011-2020,RA III,0.0
36,High temp,1961-1970,RA IV,0.0
37,High temp,1971-1980,RA IV,2.5
38,High temp,1981-1990,RA IV,1.5
39,High temp,1991-2000,RA IV,1.5
40,High temp,2001-2010,RA IV,3.5
41,High temp,2011-2020,RA IV,2.0
42,Low temp,1961-1970,RA IV,2.0
43,Low temp,1971-1980,RA IV,3.0
44,Low temp,1981-1990,RA IV,3.0
45,Low temp,1991-2000,RA IV,1.0
46,Low temp,2001-2010,RA IV,0.0
47,Low temp,2011-2020,RA IV,1.0
48,High temp,1961-1970,RA V,1.0
49,High temp,1971-1980,RA V,2.0
50,High temp,1981-1990,RA V,0.0
51,High temp,1991-2000,RA V,1.0
52,High temp,2001-2010,RA V,0.0
53,High temp,2011-2020,RA V,1.0
54,Low temp,1961-1970,RA V,2.0
55,Low temp,1971-1980,RA V,0.0
56,Low temp,1981-1990,RA V,0.0
57,Low temp,1991-2000,RA V,1.0
58,Low temp,2001-2010,RA V,0.0
59,Low temp,2011-2020,RA V,2.0
60,High temp,1961-1970,RA VI,0.33
61,High temp,1971-1980,RA VI,1.0
62,High temp,1981-1990,RA VI,1.0
63,High temp,1991-2000,RA VI,6.33
64,High temp,2001-2010,RA VI,12.0
65,High temp,2011-2020,RA VI,13.34
66,Low temp,1961-1970,RA VI,6.0
67,Low temp,1971-1980,RA VI,5.0
68,Low temp,1981-1990,RA VI,13.0
69,Low temp,1991-2000,RA VI,4.0
70,Low temp,2001-2010,RA VI,2.0
71,Low temp,2011-2020,RA VI,2.0
